Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25258124,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2006,SEX,BTSX,NA,NA,NA,NA,NA,NA,2501 [1396-4144],2500.98,1396.145,4144.29,NA,2021-02-09T16:20:21.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
25258125,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2008,SEX,BTSX,NA,NA,NA,NA,NA,NA,2513 [1414-4144],2513.372,1413.624,4143.963,NA,2021-02-09T16:20:21.51+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
25258126,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2015,SEX,BTSX,NA,NA,NA,NA,NA,NA,3130 [1853-5174],3129.581,1852.759,5173.521,NA,2021-02-09T16:20:21.527+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
25258127,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2005,SEX,BTSX,NA,NA,NA,NA,NA,NA,2467 [1360-4126],2467.121,1360.064,4125.777,NA,2021-02-09T16:20:21.54+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
25258128,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2014,SEX,FMLE,NA,NA,NA,NA,NA,NA,502 [248-915],502.4122,248.3182,915.1679,NA,2021-02-09T16:20:21.603+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
25258129,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2008,SEX,FMLE,NA,NA,NA,NA,NA,NA,372 [189-666],371.9536,188.7532,666.0801,NA,2021-02-09T16:20:21.62+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
25258130,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2016,SEX,FMLE,NA,NA,NA,NA,NA,NA,599 [324-1047],598.781,323.9981,1046.905,NA,2021-02-09T16:20:21.65+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
25258131,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2018,SEX,BTSX,NA,NA,NA,NA,NA,NA,3168 [1798-5386],3168.136,1798.268,5386.094,NA,2021-02-09T16:20:21.667+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
25258132,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2008,SEX,MLE,NA,NA,NA,NA,NA,NA,2141 [1225-3478],2141.418,1224.871,3477.883,NA,2021-02-09T16:20:21.7+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
25258133,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2019,SEX,MLE,NA,NA,NA,NA,NA,NA,2596 [1392-4561],2595.521,1392.026,4561.169,NA,2021-02-09T16:20:21.73+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
